Date,Predicted_Sales
2025-02-22,562.8164896863029
2025-02-23,611.4842120112022
2025-02-24,604.8155655655232
2025-02-25,621.8084096254368
2025-02-26,607.744049791642
2025-02-27,619.0254585082215
2025-02-28,604.3897659716134
2025-03-01,612.4264877887422
2025-03-02,610.9753434152935
2025-03-03,613.2056885382445
2025-03-04,610.7162440764862
2025-03-05,612.1041400741233
2025-03-06,610.581313898203
2025-03-07,611.7747994779211
2025-03-08,611.4406541740254
2025-03-09,611.6969270827591
2025-03-10,611.3254654161251
2025-03-11,611.5356428661051
2025-03-12,611.3787513931545
2025-03-13,611.5370134028949
2025-03-14,611.4687145707928
2025-03-15,611.49960054281
2025-03-16,611.4513239909381
2025-03-17,611.48500501907
2025-03-18,611.4671720430639
2025-03-19,611.4861615586922
2025-03-20,611.47417652532
2025-03-21,611.47871631833
2025-03-22,611.4730430781672
2025-03-23,611.4781582486822
2025-03-24,611.4757247402015
2025-03-25,611.4778604652594
2025-03-26,611.4760323283836
2025-03-27,611.4768125703496
2025-03-28,611.4761712658666
2025-03-29,611.4768804321649
2025-03-30,611.4765020532711
2025-03-31,611.4767437589118
2025-04-01,611.4764962278954
2025-04-02,611.4766317828834
2025-04-03,611.4765548793488
2025-04-04,611.4766447057744
2025-04-05,611.4765850348782
2025-04-06,611.4766152952125
2025-04-07,611.4765847159518
2025-04-08,611.476606589778
2025-04-09,611.4765959770972
2025-04-10,611.4766066329946
2025-04-11,611.4765977509129
2025-04-12,611.4766021094658
2025-04-13,611.4765985096375
2025-04-14,611.4766017140408
2025-04-15,611.4766000672147
2025-04-16,611.4766013136991
2025-04-17,611.4766000935506
2025-04-18,611.4766007728686
2025-04-19,611.4766003409918
2025-04-20,611.4766007695644
2025-04-21,611.4766005073873
2025-04-22,611.4766006619641
